web-scraper-order,web-scraper-start-url,Title,Study Code,Lead Researcher,Study type,Institution or Company,Speciality area,Summary
1616638278-2871,https://bioresource.nihr.ac.uk/studies/?page=1#articles,Anti-interferon autoantibodies in COVID-19: a UKRI CIC study,"Study code
NBR98","Lead researcher
Dr Rainer Doffinger","Study type
Samples and data","Institution or company
Cambridge University Hospital NHS Foundation Trust","Speciality area
Infection",Coming soon
1616638274-2869,https://bioresource.nihr.ac.uk/studies/?page=1#articles,"The molecular basis of platelet function phenotype, Understanding the basis of high and low platelet reactivity","Study code
NBR70 / CBR 211","Lead researcher
Professor Jonathan Gibbins","Study type
Participant re-contact","Institution or company
University of Reading and Cambridge institute of Public Health","Speciality area
Cardiovascular Disease","Platelets trigger blood clotting following injury, but also cause thrombosis, leading to heart attacks and strokes.  Platelets are targeted using drugs that inhibit their activation and while these prevent thrombosis in many patients, a sizeable proportion gain no benefit.  Presently a ‘one size fits all’ approach is used: patients at risk of thrombosis are given one or more standard anti-platelet medication.  Recent trials indicate that such approach is protective again secondary thrombosis in patients that have already suffered thrombosis, but does not protect patients without a history of thrombosis.  This raises the question: are we treating patients appropriately and giving medication to those most likely to respond positively? To answer this question we need to understand exactly how platelet reactivity varies and why this occurs, and the impact of this on responsiveness to anti-platelet therapies. To address this we have measured in detail the functional characteristics of 700 healthy individuals. We have developed new high-throughput assays that utilise machine learning approaches to allocate donors to one of 8 distinct phenotypic groups. Curiously, the least reactive phenotypic group also contains a large proportion of overweight patients, those with early signs on insulin resistance and elevated blood lipids. This was not expected, and would suggest that a group that is considered higher risk for cardiovascular disease may be less responsive to anti-platelet medication. In the proposed study extension we will recall participants from the highest and lowest responsive groups to (1) validate the profiling procedure, (2) to determine whether phenotype within individuals is stable, (3) test responsiveness to anti-platelet medication and (4) collect protein samples from donors’ platelets to enable detailed proteomic profiling to be performed. This will allow mechanisms of variability to be studied and biomarkers established to perform simplified clinical tests, and the development of precision-medicine approaches to combat thrombosis."
1616638267-2866,https://bioresource.nihr.ac.uk/studies/?page=1#articles,Affymetrix high density array NIHR BioResource,"Study code
NBR01","Lead researcher
Prof. John Bradley","Study type
Samples and data","Institution or company
University of Cambridge","Speciality area
Genomics and Rare Diseases","The NIHR BioResource Coordinating centre in Cambridge coordinated the sending of ~ 50,000 DNA samples from the previous eight NIHR BioResource centres to be genotyped using Affymetrix High Density array. This generates genetic data that can be used to recall participants to research studies."
1616638272-2868,https://bioresource.nihr.ac.uk/studies/?page=1#articles,"Validation of spinal muscular atrophy copy-number caller using 13,000 whole-genome sequence data","Study code
DAA001","Lead researcher
Adeela Ahmad","Study type
Data only","Institution or company
University of Cambridge","Speciality area
Genomics and Rare Diseases",To be added
1616638280-2872,https://bioresource.nihr.ac.uk/studies/?page=1#articles,Affinity profiling of antibody responses against SARS-CoV-2,"Study code
NBR101","Lead researcher
Dr Vasilis Kosmoliaptsis","Study type
Samples and data","Institution or company
Cambridge University Hospital NHS Foundation Trust`","Speciality area
Infection","Detection and characterisation of antibodies in biological samples is a key requirement of clinical diagnostics and underpins risk assessment and clinical decision making in infectious diseases. Two fundamental properties of the antibody response to pathogens are its magnitude (antibody concentration) and its strength (affinity of antibody binding to its target protein). However, these properties are difficult to quantify directly using the currently available immunoassays for antibody detection. We have recently developed a novel immunoassay that enables measurement of antibody concentration and of affinity of binding directly in patient serum and under physiological conditions i.e. without the need for immobilisation of target proteins on artificial surfaces that can influence the measured signal. In a small pilot study, we found that patients infected with SARS-CoV-2 (the virus causing COVID-19) develop antibody responses that vary widely in their binding affinity to viral proteins. We now wish to use our immunoassay to profile antibody responses in a large cohort of patients with different COVID-19 disease severity (from asymptomatic to severe disease) and in healthy individuals that undergo vaccination against SARS-CoV-2. We anticipate that this study will increase our understanding of the nature and variability of immune responses against this virus in different individuals and provide important clues to help define the adequacy of immune protection after SARS-CoV-2 infection and after vaccination."
1616638282-2873,https://bioresource.nihr.ac.uk/studies/?page=1#articles,Effects of APOE genotype on episodic memory in mid life,"Study code
NBR107","Lead researcher
Dr Claire Lancaster","Study type
Participant re-contact","Institution or company
University Of Sussex","Speciality area
Dementias and Neurodegeneration",Coming soon
1616638276-2870,https://bioresource.nihr.ac.uk/studies/?page=1#articles,DAA - EpiCov database,"Study code
NBR76 / DAA","Lead researcher
Professor Willem Ouwehand","Study type
Data only","Institution or company
University of Cambridge and NIHR BioResource","Speciality area
Infection","COVID-19 is a novel infectious disease caused by a virus related to those which caused previous outbreaks of SARS and MERs. Most infected people have no or only mild symptoms, but a significant fraction suffer from severe lung and breathing symptoms which need to be treated in hospital. These patients must stay in COVID-19 specific wards to prevent them from infecting other patients. Measurements from some standard blood tests frequently performed in NHS hospitals have been shown to contain information which may be useful to distinguish between patients with COVID-19 and patients with diseases with similar symptoms. Standard tests also seem to contain information that is useful for predicting the course of the disease in COVID-19 infected patients. We have developed an algorithm that attempts to use these standard hospital tests and medical records to: 1)Determine whether a patient is infected with COVID-19 2)Predict the expected course of a COVID-19 patient's disease. These inferences will be useful to triage patients into wards on admission and to identify which patients are likely to need which treatments. We seek access to NIHR BioResource data to understand how measurements from standard hospital tests vary in healthy people and people with rare diseases. This will help us to identify useful signatures in COVID-19 infected individuals."
1616638270-2867,https://bioresource.nihr.ac.uk/studies/?page=1#articles,Genes and Cognition,"Study code
NBR30","Lead researcher
Prof. Patrick Chinnery","Study type
Participant re-contact","Institution or company
University of Cambridge","Speciality area
Neurological Disorders, Ageing","The aim of this study is to learn more about brain and cognitive function in the general population. The main person overseeing the study is Professor Patrick Chinnery, a Clinical Neurologist involved in research at the University of Cambridge. It is being carried out by the NIHR BioResource team. All volunteers with the NIHR BioResource will  be invited, that have submitted a sample for analysis and have agreed to be contacted about medical research.   

Participation in this study will involve some online testing called cognitive assessment, which includes tests of memory, understanding, reaction times and problem solving.  All these tests will be carried out online, in your own home, via an App that is downloaded onto a compatible device.  It will take about half an hour to complete the online cognitive assessments, and we would ask you to do this twice over 3 years."
1616638285-2874,https://bioresource.nihr.ac.uk/studies/?page=1#articles,QwikZyme SARS-CoV-2 Clinical Evaluation,"Study code
NBR108","Lead researcher
Professor Molly Stevens","Study type
Samples and data","Institution or company
Imperial College London","Speciality area
Infection","The study involves the collection of saliva samples from Cambridge University students and evaluating the samples for the SARS-CoV-2 virus using a diagnostic test (developed by the Stevens Group, Imperial College London). The samples will be counter-evaluated using standard qPCR evaluation (through standard Cambridge testing procedure) to determine which samples are SARS-CoV-2 positive/negative and thus evaluate preliminary sensitivity and specificity date of the diagnostic test."
1616638088-2791,https://bioresource.nihr.ac.uk/studies/?page=10#articles,CAVA study – COVID-19 Capillary And Venous blood Antibody testing study,"Study code
NBR90","Lead researcher
Professor Nick Wareham","Study type
Participant re-contact","Institution or company
University of Cambridge","Speciality area
Infection","To determine whether dried blood spot samples of blood collected either by a finger-prick or by the novel OneDraw device, provides the same COVID-19 antibody test result as a blood sample taken from a vein in the arm in NIHR BioResource participants who are over the age of 18 years old and have previously been tested for COVID-19 antibodies and tested negative or positive. 
https://www.mrc-epid.cam.ac.uk/research/studies/cava/"
