web-scraper-order,web-scraper-start-url,Title Links,Title Links-href,Title,Name,Project Type,Committee Approval Decision Date,References,Lay Summary
1616688082-34743,https://projects.slam.nhs.uk/research/cris/cris-projects?pageno=37&txtName=&txtProjectTitle=&txtLaySummary=&txtCommitteeApprovalDecisionDateFrom=&txtCommitteeApprovalDecisionDateTo=,Factors associated with the recall of patients discharged from medium secure units subject to a Section 37/41 restriction.,https://projects.slam.nhs.uk/research/cris/cris_projectsdetails?ID=499,Factors associated with the recall of patients discharged from medium secure units subject to a Section 37/41 restriction.,Christopher Cocks,Research,02-May-13,References :,To identify a cohort of individuals conditionally discharged from medium secure care under a Section 37/41 restriction. The cohort will be examined to determine the rate of recall to medium secure care. Exposure variables at discharge will be examined in order to establish those factors at baseline that are associated with being recalled to secure care.
1616687992-34709,https://projects.slam.nhs.uk/research/cris/cris-projects?pageno=41&txtName=&txtProjectTitle=&txtLaySummary=&txtCommitteeApprovalDecisionDateFrom=&txtCommitteeApprovalDecisionDateTo=,Suicide Risk Assessment and All-Cause Mortality,https://projects.slam.nhs.uk/research/cris/cris_projectsdetails?ID=430,Suicide Risk Assessment and All-Cause Mortality,Chin Kuo Chang,Research,23-Jun-10,References :,This study aims to examine the association between suicide risk factors as evaluated on the SLaM full risk assessment form and all-cause mortality.
1616687959-34696,https://projects.slam.nhs.uk/research/cris/cris-projects?pageno=42&txtName=&txtProjectTitle=&txtLaySummary=&txtCommitteeApprovalDecisionDateFrom=&txtCommitteeApprovalDecisionDateTo=,Risk Factors of Neuroleptic Malignant Syndrome (NMS) Among SLAM Patients - A Case Control Study,https://projects.slam.nhs.uk/research/cris/cris_projectsdetails?ID=375,Risk Factors of Neuroleptic Malignant Syndrome (NMS) Among SLAM Patients - A Case Control Study,Chin Kuo Chang,Research,01-Jan-09,"References :
                            Ascertaining Instances of Neuroleptic Malignant Syndrome in a Secondary Mental Healthcare Electronic Medical Records Database: the SLAM BRC Case Register. 
Chang, C-K., Harrison, S., Lee, W., Taylor, D. & Stewart, R. Apr 2012 In: Therapeutic Advances in Psychopharmacology. 2, 2, p. 75-83.",This study aims to investigate factors associated with NMS.
1616688538-34924,https://projects.slam.nhs.uk/research/cris/cris-projects?pageno=19&txtName=&txtProjectTitle=&txtLaySummary=&txtCommitteeApprovalDecisionDateFrom=&txtCommitteeApprovalDecisionDateTo=,Cardiovascular outcomes and prescribing in dementia (CVOPD),https://projects.slam.nhs.uk/research/cris/cris_projectsdetails?ID=909,Cardiovascular outcomes and prescribing in dementia (CVOPD),Christoph Mueller,Research,17-Dec-15,References :,"Although many people with dementia have heart conditions, there are currently no guidelines for prescribing and monitoring of cholinesterase inhibitors in heart disease. The study will investigate safety of cholinesterase inhibitors in patients with dementia, including those with heart conditions."
1616688565-34935,https://projects.slam.nhs.uk/research/cris/cris-projects?pageno=18&txtName=&txtProjectTitle=&txtLaySummary=&txtCommitteeApprovalDecisionDateFrom=&txtCommitteeApprovalDecisionDateTo=,Electroconvulsive therapy in treatment-refractory schizophrenia - futility of utility?,https://projects.slam.nhs.uk/research/cris/cris_projectsdetails?ID=929,Electroconvulsive therapy in treatment-refractory schizophrenia - futility of utility?,John Lally,Research,17-Mar-16,References :,"This study will examine the rates of ECT treatment in SLAM, the response rate to clozapine augmentation with ECT in treatment-resistant schizophrenia, the relapse rate over the first year after ECT and the clinical predictors of response and relapse. The second objective is to examine and identify post-ECT treatments which maintain clinical response, including maintenance ECT (where the patient continues to receive ECT after the acute course at a reduced schedule)."
1616688092-34747,https://projects.slam.nhs.uk/research/cris/cris-projects?pageno=37&txtName=&txtProjectTitle=&txtLaySummary=&txtCommitteeApprovalDecisionDateFrom=&txtCommitteeApprovalDecisionDateTo=,Exploring Adverse Drug Reactions (ADRs) in CRIS using the  GATE Text Mining Framework,https://projects.slam.nhs.uk/research/cris/cris_projectsdetails?ID=506,Exploring Adverse Drug Reactions (ADRs) in CRIS using the  GATE Text Mining Framework,Shammi Iqbal,Research,02-May-13,"References :
                            •	Identification of Adverse Drug Events from Free Text Electronic Patient Records and Information in a Large Mental Health Case Register
Iqbal, E., Mallah, R., Jackson, R.G., Ball, M., Ibrahim, Z.M., Broadbent, M., Dzahini, O., Stewart, R., Johnston, C. & Dobson, R.J.B. 14 Aug 2015 In: PLoS ONE, 10(8): e0134208","This study aims to develop tailored GATE applications to identify specific ADRs in CRIS and to explore the use of broad biomedical ontologies such as SNOMED to explore ADR occurrence across the whole of CRIS and to relate them to other information, including medications."
1616688135-34764,https://projects.slam.nhs.uk/research/cris/cris-projects?pageno=35&txtName=&txtProjectTitle=&txtLaySummary=&txtCommitteeApprovalDecisionDateFrom=&txtCommitteeApprovalDecisionDateTo=,Does Teaching the HCR-20 to Mentally Disordered Offenders in a Forensic Psychiatric Hospital Reduce their Total HCR-20 Scores?,https://projects.slam.nhs.uk/research/cris/cris_projectsdetails?ID=543,Does Teaching the HCR-20 to Mentally Disordered Offenders in a Forensic Psychiatric Hospital Reduce their Total HCR-20 Scores?,Omar Ramjiawon,Research,26-Feb-12,References :,"The aims of this project are to evaluate and investigate whether attending the ‘HCR-20 and Recovery Group’ for a minimum of 10 sessions decreases mentally disordered offenders’ total HCR-20 scores compared to a matched control sample, and what factors amight decrease mentally disordered offenders’ HCR-20 total scores?"
1616688086-34745,https://projects.slam.nhs.uk/research/cris/cris-projects?pageno=37&txtName=&txtProjectTitle=&txtLaySummary=&txtCommitteeApprovalDecisionDateFrom=&txtCommitteeApprovalDecisionDateTo=,Incidence and Predictors of Stroke in People with Dementia,https://projects.slam.nhs.uk/research/cris/cris_projectsdetails?ID=501,Incidence and Predictors of Stroke in People with Dementia,Uy Hoang,Research,19-Jun-13,References :,This study aims to ascertain  stroke incidence and predictors following first dementia diagnosis.
1616688858-35050,https://projects.slam.nhs.uk/research/cris/cris-projects?pageno=7&txtName=&txtProjectTitle=&txtLaySummary=&txtCommitteeApprovalDecisionDateFrom=&txtCommitteeApprovalDecisionDateTo=,Internet / Social media use and Self-harm / Suicidal behaviour in Adolescent patients.,https://projects.slam.nhs.uk/research/cris/cris_projectsdetails?ID=1282,Internet / Social media use and Self-harm / Suicidal behaviour in Adolescent patients.,rosemary Sedgwick,Research,23-Nov-18,References :,The internet and social media are now widely used by young people and there are increasing concerns about the potentially harmful effects of this. This project will investigate whether clinicians are considering this during assessment and whether any associations can be found between social media / internet use and self-harm / suicidal behaviour in adolescents.
1616688531-34921,https://projects.slam.nhs.uk/research/cris/cris-projects?pageno=19&txtName=&txtProjectTitle=&txtLaySummary=&txtCommitteeApprovalDecisionDateFrom=&txtCommitteeApprovalDecisionDateTo=,The involuntary admission and treatment of children and adolescents under the Mental Health Act,https://projects.slam.nhs.uk/research/cris/cris_projectsdetails?ID=903,The involuntary admission and treatment of children and adolescents under the Mental Health Act,Susan Walker,Research,10-Dec-15,References :,"The objectives of this analysis will be to gain a greater understanding of the numbers of people being detained over a 5 year period as a percentage of all those referred to SLaM child and adolescent mental health services (CAMHS) and as a proportion of those admitted to inpatient units. It will also enable clarification of the demographics (age, gender, ethnicity, social economic status) of those young people being detained so we can start to understand how to identify those most at risk of involuntary detention. It will also allow us to start to look at the outcomes of young people who have been detained (in terms of length of admissions, medication use and possibly also readmission rates) in comparison with young people who have been admitted to psychiatric hospital voluntarily."
1616688041-34728,https://projects.slam.nhs.uk/research/cris/cris-projects?pageno=39&txtName=&txtProjectTitle=&txtLaySummary=&txtCommitteeApprovalDecisionDateFrom=&txtCommitteeApprovalDecisionDateTo=,Readmission after Acute Psychiatric Admission,https://projects.slam.nhs.uk/research/cris/cris_projectsdetails?ID=476,Readmission after Acute Psychiatric Admission,Alex Tulloch,Research,28-Jul-11,"References :
                            Home Treatment Teams and Facilitated Discharge from Psychiatric Hospital 
Tulloch, A. D., Khondoker, M. R., Thornicroft, G. & David, A. S. 2014 In: Epidemiology And Psychiatric Sciences. p. 1-13. [epub ahead of print].",This study aims to investigate predictors of readmission after discharge from psychiatric inpatient wards.
1616688072-34740,https://projects.slam.nhs.uk/research/cris/cris-projects?pageno=38&txtName=&txtProjectTitle=&txtLaySummary=&txtCommitteeApprovalDecisionDateFrom=&txtCommitteeApprovalDecisionDateTo=,Improving Physical Health and Reducing Substance Use in Severe Mental Illness: A Randomised Controlled Trial (IMPACT RCT),https://projects.slam.nhs.uk/research/cris/cris_projectsdetails?ID=494,Improving Physical Health and Reducing Substance Use in Severe Mental Illness: A Randomised Controlled Trial (IMPACT RCT),John Lally,Research,27-Jan-13,References :,This study aims to ascertain the HONOS scores and weight measurements from the caseload of each care coordinator involved in the IMPACT study.
1616688268-34817,https://projects.slam.nhs.uk/research/cris/cris-projects?pageno=30&txtName=&txtProjectTitle=&txtLaySummary=&txtCommitteeApprovalDecisionDateFrom=&txtCommitteeApprovalDecisionDateTo=,The Effects of Personal Support on Community Tenure Amongst Forensic Patients with a Diagnosis of Schizophrenia,https://projects.slam.nhs.uk/research/cris/cris_projectsdetails?ID=638,The Effects of Personal Support on Community Tenure Amongst Forensic Patients with a Diagnosis of Schizophrenia,Whistine Chai,Research,20-Dec-13,References :,"This study's objectives are to examine the group differences between forensic service users with schizophrenia with/without personal support in community tenure, substance use, levels of stress, and non-adherence to medication."
1616688903-35068,https://projects.slam.nhs.uk/research/cris/cris-projects?pageno=5&txtName=&txtProjectTitle=&txtLaySummary=&txtCommitteeApprovalDecisionDateFrom=&txtCommitteeApprovalDecisionDateTo=,The role of environment and accessibility in suicidality,https://projects.slam.nhs.uk/research/cris/cris_projectsdetails?ID=1332,The role of environment and accessibility in suicidality,Angus Roberts,Research,21-Mar-19,References :,"There is evidence from studies in the Netherlands and Korea that access to the natural environment, such as green spaces, is associated with lower levels of depression and suicide. This project will look to replicate these studies on data from South London."
1616688878-35058,https://projects.slam.nhs.uk/research/cris/cris-projects?pageno=6&txtName=&txtProjectTitle=&txtLaySummary=&txtCommitteeApprovalDecisionDateFrom=&txtCommitteeApprovalDecisionDateTo=,Clinical health informatics to address the challenge of multimorbidity: A longitudinal approach,https://projects.slam.nhs.uk/research/cris/cris_projectsdetails?ID=1294,Clinical health informatics to address the challenge of multimorbidity: A longitudinal approach,Rebecca Bendayan,Research,30-Jan-19,References :,"There is an urgent need to understand how multimorbidity (the occurrence of multiple health conditions) develops over the life, how individuals progress from the diagnoses of a first single chronic health condition to subsequent ones, and how these changes are associated with disability, survival or health care use and costs. This project aims to develop and apply advanced analytical techniques which capture the complex reality of multiple chronic health conditions by exploring common multimorbidity patterns suffered by older adults; for example, hypertension, depression and mild cognitive impairment or dementia"
1616688540-34925,https://projects.slam.nhs.uk/research/cris/cris-projects?pageno=19&txtName=&txtProjectTitle=&txtLaySummary=&txtCommitteeApprovalDecisionDateFrom=&txtCommitteeApprovalDecisionDateTo=,Predictors of falls and fracture hospital admissions for South London and Maudsley patients,https://projects.slam.nhs.uk/research/cris/cris_projectsdetails?ID=910,Predictors of falls and fracture hospital admissions for South London and Maudsley patients,Gayan Perera,Research,17-Dec-15,References :,"People with serious mental illness, depression and reduced cognition are at increased risk of lower bone mineral density and fractures. The objective of this study is to identify risk factors for falls and fracturs for patients receiving mental health care, particularly those with depression, severe mental disorders, and dementia."
1616688067-34738,https://projects.slam.nhs.uk/research/cris/cris-projects?pageno=38&txtName=&txtProjectTitle=&txtLaySummary=&txtCommitteeApprovalDecisionDateFrom=&txtCommitteeApprovalDecisionDateTo=,Predicting Diagnostic Delay in Bipolar Disorder,https://projects.slam.nhs.uk/research/cris/cris_projectsdetails?ID=492,Predicting Diagnostic Delay in Bipolar Disorder,Rashmi Patel,Research,28-Jan-13,"References :
                            Delays before Diagnosis and Initiation of Treatment in Patients Presenting to Mental Health Services with Bipolar Disorder 
Patel, R., Shetty, H., Jackson, R., Broadbent, M., Stewart, R., Boydell, J., McGuire, P. & Taylor, M. 20 May 2015 In: PLoS ONE. 10, 5: e0126530.",This study aims to investigate how clinical and demographic factors contribute towards a delay in diagnosis of bipolar disorder.
1616688709-34992,https://projects.slam.nhs.uk/research/cris/cris-projects?pageno=12&txtName=&txtProjectTitle=&txtLaySummary=&txtCommitteeApprovalDecisionDateFrom=&txtCommitteeApprovalDecisionDateTo=,Impact of Reasoning & Rehabilitation version 2 Programme on subsequent antisocial behaviour in medium secure units using electronic health records.,https://projects.slam.nhs.uk/research/cris/cris_projectsdetails?ID=1063,Impact of Reasoning & Rehabilitation version 2 Programme on subsequent antisocial behaviour in medium secure units using electronic health records.,Tara Armour,Research,06-Apr-17,References :,Reasoning & rehabilitation programmes need further assessment for patients with major mental disorders in medium secure units. The proposed study will investigate the association between completion of the programme and subsequent antisocial behaviour.
1616688034-34725,https://projects.slam.nhs.uk/research/cris/cris-projects?pageno=39&txtName=&txtProjectTitle=&txtLaySummary=&txtCommitteeApprovalDecisionDateFrom=&txtCommitteeApprovalDecisionDateTo=,Characteristics of a South London Forensic Inpatient Population,https://projects.slam.nhs.uk/research/cris/cris_projectsdetails?ID=472,Characteristics of a South London Forensic Inpatient Population,Alexis Cullen,Research,07-Jul-11,References :,"This study aims to provide descriptive information on the demographic, clinical, and forensic characteristics of the forensic inpatient population in SLAM. The study incorporates a census of all inpatients receiving treatment in forensic psychiatric services?during a two-week period in 2011.??"
1616688718-34996,https://projects.slam.nhs.uk/research/cris/cris-projects?pageno=12&txtName=&txtProjectTitle=&txtLaySummary=&txtCommitteeApprovalDecisionDateFrom=&txtCommitteeApprovalDecisionDateTo=,Risk for dementia conversion in Mild Cognitive Impairment (MCI) with diabetes mellitus,https://projects.slam.nhs.uk/research/cris/cris_projectsdetails?ID=1072,Risk for dementia conversion in Mild Cognitive Impairment (MCI) with diabetes mellitus,Latha Velayudhan,Research,27-Jun-17,References :,The risk of dementia is increased in people with type 2 diabetes mellitus (T2DM). Our project will investigate factors that are associated with risk of dementia in T2DM in an urban multi-ethnic population.
1616688522-34918,https://projects.slam.nhs.uk/research/cris/cris-projects?pageno=20&txtName=&txtProjectTitle=&txtLaySummary=&txtCommitteeApprovalDecisionDateFrom=&txtCommitteeApprovalDecisionDateTo=,Economic impact of different treatments on outcomes in schizophrenia,https://projects.slam.nhs.uk/research/cris/cris_projectsdetails?ID=898,Economic impact of different treatments on outcomes in schizophrenia,Paul McCrone,Research,19-Nov-15,References :,This project will investigate the service use and costs associated with relapse in patients with schizophrenia. It will also examine the impact that reduced days in hospital have on future bed numbers and staff levels.
1616688876-35057,https://projects.slam.nhs.uk/research/cris/cris-projects?pageno=6&txtName=&txtProjectTitle=&txtLaySummary=&txtCommitteeApprovalDecisionDateFrom=&txtCommitteeApprovalDecisionDateTo=,The impact of early medication administration on length of hospital stay,https://projects.slam.nhs.uk/research/cris/cris_projectsdetails?ID=1292,The impact of early medication administration on length of hospital stay,Rowena Carter,Research,23-Nov-18,References :,"With psychiatric bed pressures increasing, patients are experiencing longer waits in A&E and on acute medical wards before they can be transferred to mental health inpatient units; as a result liaison services are having to become more proactive with their approach towards treatment. We intend to assess if starting medication early (within the first 24hours of a patient presenting) has an impact on duration of stay in psychiatric ward."
1616688563-34934,https://projects.slam.nhs.uk/research/cris/cris-projects?pageno=18&txtName=&txtProjectTitle=&txtLaySummary=&txtCommitteeApprovalDecisionDateFrom=&txtCommitteeApprovalDecisionDateTo=,Effectiveness of Behavioural Treatment Substance Abuse (BTSA) within a community forensic sample,https://projects.slam.nhs.uk/research/cris/cris_projectsdetails?ID=928,Effectiveness of Behavioural Treatment Substance Abuse (BTSA) within a community forensic sample,Charlie Smith,Research,10-Mar-16,References :,"The overall aim of the project is to evaluate the effectiveness of the BTSA treatment program within a community forensic sample consisting of past offenders, comparing outcome variables such as substance misuse and violent behaviours, between community forensic service users who have attended at least one-rotation of BTSA and a control group of service users who have not attended BTSA."
1616688671-34977,https://projects.slam.nhs.uk/research/cris/cris-projects?pageno=14&txtName=&txtProjectTitle=&txtLaySummary=&txtCommitteeApprovalDecisionDateFrom=&txtCommitteeApprovalDecisionDateTo=,"Non-epileptic seizures (NES) in children and adolescents: risk factors, course and outcomes",https://projects.slam.nhs.uk/research/cris/cris_projectsdetails?ID=1037,"Non-epileptic seizures (NES) in children and adolescents: risk factors, course and outcomes",Andrew McWilliams,Research,02-Feb-17,References :,Non-epileptic seizures may cause a great deal of impairment to a person’s ability to function: this project aims to  ascertain risk factors for developing this disorder and to track its course such that it can be better understood and treatments developed.
