web-scraper-order,web-scraper-start-url,Title Links,Title Links-href,B Number and Title,B number,Principal applicant name,Co-applicants,Title of project,Proposal summary,Impact of research,Date proposal received,Date proposal approved,Keywords
1616721412-606,https://proposals.epi.bristol.ac.uk/?q=proposalSummaries&page=111,B715 - Longitudinal profiles of dietary patterns in childhood - 08/10/2008,https://proposals.epi.bristol.ac.uk/?q=node/126779,B715 - Longitudinal profiles of dietary patterns in childhood - 08/10/2008,B715,"Dr Kate  Northstone (University of Bristol, UK)","Dr Kirstin  Newby (Not used 0, Not used 0), Dr Pauline  Emmett (University of Bristol, UK)",Longitudinal profiles of dietary patterns in childhood.,"The proposed analyses are exploratory in nature and will use simple methods in an attempt to idenitfy groups of children who follow certain dietary patterns throughout childhood. Dietary patterns have been obtained using Principal Components Analysis at the ages of 3, 4, 7 and 9 years in the ASLPAC children (1-3). For each child a continuous score was obtained for each dietary pattern. It is envisaged that there will be children who consistently score highly on individual patterns, e.g. the 'health conscious' or 'processed' patterns over time. On the other hand there are likely to be children whose diets have changed, for example, they may have initially scored highly on the 'processed' pattern and low on the 'health conscious' pattern in early childhood but reversed this trend through mid-childhood. Identifying such groups may be useful for examining the longitudinal associations between diet and a wide variety of health outcomes, by offering an alternative dietary exposure.",null,"Wednesday, 8 October, 2008","Wednesday, 8 October, 2008",Diet
1616723311-1390,https://proposals.epi.bristol.ac.uk/?q=proposalSummaries&page=73,B2077 - Association between paternally inherited GNAS SNP alleles and birth weight - 12/09/2013,https://proposals.epi.bristol.ac.uk/?q=node/126022,B2077 - Association between paternally inherited GNAS SNP alleles and birth weight - 12/09/2013,B2077,"Dr Harald  Jueppner (Massachusetts General Hospital, USA)","Dr Rachel  Freathy (University of Exeter, UK)",Association between paternally inherited GNAS SNP alleles and birth weight.,Aim: Determine whether variations in the paternally expressed GNAS splice variant XL-alpha S affect normal fetal growth?,null,"Thursday, 5 September, 2013","Thursday, 12 September, 2013",Birth Outcomes
1616724303-1776,https://proposals.epi.bristol.ac.uk/?q=proposalSummaries&page=53,2527 - The Cultural Transmission of BMI,https://proposals.epi.bristol.ac.uk/?q=node/127787,2527 - The Cultural Transmission of BMI,2527,Stacey Cherny | University of Hong Kong (Hong Kong),Prof. Pak Chung Sham,The Cultural Transmission of BMI,"The body mass index (BMI) has long been used in population studies in order to quantify obesity

and is known to predict cardiovascular events. Especially in childhood BMI the influence of family environment has attracted considerable interest. Thus previous research has shown that maternal BMI is an excellent predictor for the BMI of the offspring. However, it is unclear to what extent maternal genetic factors contribute to the offspring’s BMI beyond genetic transmission. This effect is also called cultural transmission (CT) and can be defined as the transmission of environmental factors from the parent to the offspring generation. CT can be divided into two components. Environmental influence caused by parental genetic factors

and components transmitted exclusively via the environment. Thus the aim of this proposal is to

partition CT into genetic and environmental aspects to further elucidate the maternal influence

on BMI.",null,"Friday, 4 September, 2015","Thursday, 24 September, 2015","Statistics/methodology, Obesity, Epigenetics, GWAS, Statistical methods, BMI, Environment - enviromental exposure, pollution, Genetics - e.g. epigenetics, mendelian randomisation, UK10K, sequencing, etc., Statistical methods"
1616722929-1243,https://proposals.epi.bristol.ac.uk/?q=proposalSummaries&page=81,B1456 - Is television viewing associated with depression and antisocial behaviour in adolescents - 25/10/2012,https://proposals.epi.bristol.ac.uk/?q=node/126179,B1456 - Is television viewing associated with depression and antisocial behaviour in adolescents - 25/10/2012,B1456,"Dr Markand  Patel (University of Bristol, UK)","Prof Glyn  Lewis (University of Bristol, UK), Dr Nicola  Wiles (University of Bristol, UK), Prof Matt  Hickman (University of Bristol, UK)",Is television viewing associated with depression and antisocial behaviour in adolescents?,Background,null,"Thursday, 25 October, 2012","Thursday, 25 October, 2012",Depression
1616724846-1985,https://proposals.epi.bristol.ac.uk/?q=proposalSummaries&page=42,B2778 - To identify and validate novel causal genetic variation for type 1 diabetes - 26/04/2017,https://proposals.epi.bristol.ac.uk/?q=node/127574,B2778 - To identify and validate novel causal genetic variation for type 1 diabetes - 26/04/2017,B2778,Brent Richards | Lady Davis Institute (Quebec),"Andrew Paterson, Nicholas Timpson",To identify and validate novel causal genetic variation for type 1 diabetes,"T1D is an unrelenting chronic disease of childhood that places a substantial burden on children and their families. This onus is increasing rapidly as the annual incidence rate of T1D is growing by ~5% per year in developed countries, such that by 2020 the number of children in Europe with T1D will increase by 70% from 2005 levels. T1D leads not only to a reduced lifespan by 12 years, but also to increased rates of renal failure requiring life-long dialysis, blindness, limb amputation, coronary heart disease and stroke. This study aims to use ALSPAC genotype data as controls in the replication of genetic association findings found to be associated with risk of T1D.",null,"Thursday, 27 October, 2016","Thursday, 1 December, 2016","Genetics, Diabetes, Gene mapping, GWAS, Genetics - e.g. epigenetics, mendelian randomisation, UK10K, sequencing, etc."
1616726610-2680,https://proposals.epi.bristol.ac.uk/?q=proposalSummaries&page=7,B3581 - Dissecting PCOS Physiology by Defining Phenotypes Associated with PCOS Genetic Risk Factors in Children - 24/07/2020,https://proposals.epi.bristol.ac.uk/?q=node/130174,B3581 - Dissecting PCOS Physiology by Defining Phenotypes Associated with PCOS Genetic Risk Factors in Children - 24/07/2020,B3581,Yee-Ming Chan | Boston Children’s Hospital; Harvard Medical School (USA),"Dr. Joel N. Hirschhorn, Dr. Jia Zhu, Dr. Cecilia Lindgren, Prof. Debbie A. Lawlor, Dr. Abigail Fraser",Dissecting PCOS Physiology by Defining Phenotypes Associated with PCOS Genetic Risk Factors in Children,"Polycystic ovarian syndrome (PCOS) is a major health concern that affects up to 10% of reproductive-aged women. This complex, heterogeneous condition is often characterized by a triad of ovulatory dysfunction, hyperandrogenism, and cardiometabolic dysfunction. Despite extensive physiologic and genetic studies, the treatment of PCOS remains limited by an incomplete understanding of the pathophysiology of the disorder. Identification of the genetic variants and pathways associated with PCOS susceptibility may provide insights into the pathogenesis of the condition and potential targeted treatments.","If associations between a polygenic risk score for PCOS and hyperandrogenic and cardiometabolic phenotypes in children are found, the findings would indicate that biological pathways independent of ovarian function contribute to the pathogenesis of PCOS. In contrast, if associations are not identified, it would suggest that ovarian function has a primary causative and/or an essential mediator role in the pathogenesis of PCOS, potentially limited to reproductive-age women. 

Broadly, this study and future studies will provide insight into the role that genetic risk factors for PCOS play in reproductive and cardiometabolic disease, and how these are shared or distinct between men and women. This study also has the potential to deepen our understanding of pediatric manifestations of genetic risk factors for PCOS, which may inform clinical care and counseling for children with premature adrenarche.","Thursday, 23 July, 2020","Friday, 24 July, 2020","Endocrinology, Diabetes, Fertility/infertility, Obesity, Computer simulations/modelling/algorithms, Biomarkers - e.g. cotinine, fatty acids, haemoglobin, etc., Cardiovascular, Genetics, Sex differences"
1616720925-415,https://proposals.epi.bristol.ac.uk/?q=proposalSummaries&page=120,B474 - Effect of diet on the mental performance of children Nutrimenthe - 09/03/2007,https://proposals.epi.bristol.ac.uk/?q=node/126978,B474 - Effect of diet on the mental performance of children Nutrimenthe - 09/03/2007,B474,"Prof Christina  Campoy (University of Granada, Spain, Europe)","Dr Pauline  Emmett (University of Bristol, UK),  Miguel   P?rez-Garcia (Not used -1, Not used -1), Mr Colin  Steer (Not used 0, Not used 0)",Effect of diet on the mental performance of children (Nutrimenthe),Aims,null,"Friday, 9 March, 2007","Friday, 9 March, 2007",
1616720242-141,https://proposals.epi.bristol.ac.uk/?q=proposalSummaries&page=134,B79 - Investigating the heritability and epidemiology of non-clinical psychotic phenomena in the general population - 01/10/2002,https://proposals.epi.bristol.ac.uk/?q=node/127267,B79 - Investigating the heritability and epidemiology of non-clinical psychotic phenomena in the general population - 01/10/2002,B79,"Prof Mary  Zanarini (The Harvard Clinical and Translational Science Centre, USA)",,Investigating the heritability and epidemiology of non-clinical psychotic phenomena in the general population.,(No outline received).,null,"Tuesday, 1 October, 2002","Tuesday, 1 October, 2002","Personality, PLIKS, Self-harm, Sleep, Psychosis"
1616726256-2541,https://proposals.epi.bristol.ac.uk/?q=proposalSummaries&page=14,B3434 - Methylation of the glucocorticoid receptor gene in the development of child psychopathology - 10/02/2020,https://proposals.epi.bristol.ac.uk/?q=node/130056,B3434 - Methylation of the glucocorticoid receptor gene in the development of child psychopathology - 10/02/2020,B3434,Moniek Zeegers | Research Institute of Child Development and Education (Netherlands),Prof. Geertjan Overbeek,Methylation of the glucocorticoid receptor gene in the development of child psychopathology,null,"Findings from this study will lead to a better understanding of family-system influences on the development of stress-related mental health disorders. Specifically, with this study we will be able—as a first research team worldwide—to identify whether parenting can prospectively predict methylation changes in the glucocorticoid system, and through these changes affect children’s likelihood of developing psychopathology.","Wednesday, 18 December, 2019","Friday, 20 December, 2019","Mental health - Psychology, Psychiatry, Cognition, Mental health, Statistical methods, Parenting"
1616723664-1528,https://proposals.epi.bristol.ac.uk/?q=proposalSummaries&page=66,B2234 - Lifecourse epidemiology of womens reproductive health and its relation to chronic disease - 08/05/2014,https://proposals.epi.bristol.ac.uk/?q=node/125873,B2234 - Lifecourse epidemiology of womens reproductive health and its relation to chronic disease - 08/05/2014,B2234,"Dr Abigail  Fraser (University of Bristol, UK)","Prof Debbie A Lawlor (University of Bristol, UK), Prof Scott  Nelson (University of Glasgow, UK)",Lifecourse epidemiology of women's reproductive health and its relation to chronic disease.,"Aim 1: To study the life course epidemiology of female reproductive health and potential in early adulthood. I will use data on foetal exposures, growth, adiposity, diet, physical activity, smoking and stressful life events assessed repeatedly throughout childhood, adolescence and early adulthood to estimate the contribution of these and to identify critical and/or sensitive periods to female reproductive health and potential.",null,"Thursday, 1 May, 2014","Thursday, 8 May, 2014","Cardiovascular , Hormones, Physical Activity, Metabolism"
1616722897-1230,https://proposals.epi.bristol.ac.uk/?q=proposalSummaries&page=81,B1441 - Analysis of the risk profiles of ALSPAC adolescent communities and individuals within a friendship network context - 27/09/2012,https://proposals.epi.bristol.ac.uk/?q=node/126188,B1441 - Analysis of the risk profiles of ALSPAC adolescent communities and individuals within a friendship network context - 27/09/2012,B1441,"Prof Matt  Hickman (University of Bristol, UK)","Dr Katy  Turner (University of Bristol, UK), Prof John  Macleod (University of Bristol, UK), Mr Andy  Boyd (University of Bristol, UK), Mr Steve  Gregory (University of Bristol, UK), Miss Rhiannon  Pinney (University of Bristol, UK)",Analysis of the risk profiles of ALSPAC adolescent communities and individuals within a friendship network context.,Social network analysis provides an insight on the complex influences that relationships between individuals may have on their health and social wellbeing throughout the lifecourse. ALSPAC has a unique data resource in this respect; a mapped friendship network of adolescents linked to detailed records of behavioural traits and health/social outcomes.This will allow the investigation of risk taking behaviour in adolescents within friendship 'communities' and how the clustering of these communities relate to the location of the friends residence and school. The investigation will be conducted as a 'Complexity Project' run by Uiniveristy of Bristol Computational Sciences Department. The complexity student will be supervised by Computational Science and School of Social and Community Medicine Staff.,null,"Thursday, 27 September, 2012","Thursday, 27 September, 2012","Risks, Social Networks, Social Position"
