web-scraper-order,web-scraper-start-url,Title,Lay Summary,Technical Summary,Health Outcomes to be Measured,Collaborators,Linkages
1616634570-2705,https://www.cprd.com/protocol-list?page=0,Exploring the role of electronic Frailty Index (eFI) using routine primary care electronic health care records data to predict hospitalization and mortality in older patients with type 2 diabetes,"Older people with type 2 diabetes commonly have different levels of frailty associated with multiple medical problems and disabilities.  The risks and benefits for older patients from lowering their blood sugar levels to certain target values may be affected by their different frailty levels.  We aim to use an ""electronic frailty index"" (eFI) to test the feasibility of using eFI scores for individual older patients to determine for each the blood sugar target that optimally balances benefits and risks.
To do this, we will use data collected from GP surgeries nation-wide.  From this we shall extract relevant information for all patients above the age of 65 with type 2 diabetes.  We will calculate individual eFI scores for patients using data such as age, disability status or co-existing medical problems.  We will then look for associations between individual frailty scores and various outcomes: overall risks of death and of severe complications such as heart attacks or strokes, and some risks associated with intensive treatment, such as low blood sugars (hypoglycaemia), requiring hospital admissions.  Finally, we will investigate - separately for patients with different severities of diabetes (identified using sugar levels from the diabetes monitoring blood test) - associations between the same outcomes and different blood sugar targets.
Our intention is to provide evidence to support the use of eFI scores to help determine appropriately differentiated blood sugar targets for older patients with type-2 diabetes, which take into account the different risks and benefits for individuals.","The technical summary should provide a succinct overview of the overarching study aim and objectives, primary exposure(s), and outcome(s), if relevant, study design, and methods including the main statistical tests to be used.

Type 2 diabetes (T2D) is an age related disease and the heterogeneity in older patients' health status represent a challenge to making generalised treatment recommendations for older adults. The recent development and validation of an electronic frailty index (eFI) now offers a tool which was supported in the 2016 UK NICE multimorbidity guidelines. In this study, our research question is: Can an eFI, generated from routinely collected data, be used to predict hospitalization and mortality at an individual level of older patients with T2D? 
Study design: an open cohort of patients 65 years and older, diagnosed with type 2 diabetes, followed for two years or until all-cause hospitalisation or mortality.
Methods: Multivariate Cox regression analysis will be run to predict the outcome.  Model 1 will include social history, polypharmacy and the co-morbidity relevant to risk factor for hospitalization and mortality but not the eFI; Model 2 will be the same but will include the eFI.  Likelihood-ratio test will be used to assess the effect of adding the eFI to the model.  For both models, D statistics and Harrell's C statistics will be calculated as measures of discrimination.  The addition of the eFI will be considered an improvement if a reduction in Akaike's Information Criterion is greater than 4.
The analysis will be repeated for patients grouped by different levels of glycaemic control.  The groups will be formed by using quintiles of HbA1c at the study entry.
We believe findings from this study will form the basis for a wider, routine, evidence-based use of eFI when assessing and setting treatment targets for people with T2D, and will have a major impact on the quality of life of patients and in reducing the societal economic burden of treatments.",Composite of All-cause hospitalisation and All-cause mortality deriving from GP or HES data.,"Dr Iskandar Idris - Chief Investigator - University of Nottingham

Professor Adam Gordon - Collaborator - University of Nottingham

Professor Nadeem Qureshi - Collaborator - University of Nottingham

Mr Thomas Crabtree - Collaborator - University of Nottingham

Dr Yana Vinogradova - Corresponding Applicant - University of Nottingham",HES Admitted;ONS;Patient Townsend
1616634577-2708,https://www.cprd.com/protocol-list?page=0,Risk of cardiovascular and related diseases in asthma patients and bronchodilator users in the UK,"It is not known if people with asthma are more at risk of heart problems than people without asthma. Studies carried out previously have shown mixed results. Some studies have found there is an increased chance of developing heart disease, but other studies have found that only happens in people with asthma that smoke or only in people with asthma and allergies. Therefore it may be that different people with asthma have different risks. Another study found that people in Taiwan with a similar lung disease, called chronic obstructive pulmonary disease, that had recently started an inhaled drug that is commonly used in asthma, had an increased risk of developing heart disease. Therefore, we wish to see in a UK population of people with asthma if some people have an increased risk of heart disease. Whether that increases their risk of developing heart disease, or diseases associated with heart problems, or it increases their risk of worse problems from having heart disease e.g. needing to be admitted to hospital or even dying from heart disease.","The annual incidence and mortality rates of cardiovascular disease and related diseases (ischaemic heart disease, hypertension, heart failure, ischaemic stroke, arrhythmias, thromboembolic disease, obstructive sleep apnoea and diabetes) will be calculated for people with asthma. Outcomes will be determined using primary care (CPRD), hospital diagnoses (HES) and death certificate diagnoses (ONS). Incidence and mortality will be compared to a randomly selected cohort of CPRD patients, that do not have asthma. A multivariable Poisson model, adjusted for risk factors (gender, age, smoking history, body mass index, eosinophil count, asthma medications, chronic obstructive pulmonary disease and socioeconomic status - using linkage with Index of Multiple Deprivation), will be used to obtain rate ratios. To determine cardiovascular risk from long-acting bronchodilators, a nested case-control will be used from a cohort of incident long-acting bronchodilator users. Exposure (long acting bronchodilator) will be categorised by type of inhaler and duration of use. The cases will matched 1:4 and conditional logistic regression will be used to estimate the association. The same analysis will also be carried out in a COPD population.","Incidence and mortality rates of ischaemic heart disease (IHD), hypertension, heart failure (HF), ischaemic stroke, arrhythmia, thromboembolic disease, obstructive sleep apnoea and diabetes in asthma patients; incident ratios comparing to general population. Cardiovascular disease (IHD, HF, stroke, arrhythmia) risk from long-acting bronchodilators.","Dr Chloe Bloom - Chief Investigator - Imperial College London

Dr Chloe Bloom - Corresponding Applicant - Imperial College London

Rosita Zakeri - Collaborator - King's College London

Varun Sundaram - Collaborator - Imperial College London",HES A&E;HES Admitted;HES Outpatient;ONS;Patient IMD
1616634575-2707,https://www.cprd.com/protocol-list?page=0,"Prevalence, patient characteristics and treatment patterns of adult Atopic Dermatitis in UK primary care","Atopic dermatitis (AD) or eczema is a long-lasting condition associated with red and itchy skin that tends to flare periodically. In many instances, AD begins in childhood, while severe cases may persist in adulthood.  About one-third of adult cases develop in adulthood. AD is one of the most common non-communicable skin diseases which affects up to 20% of children and 2-8% of adults in most countries of the world. There is limited data on the number of adults living with AD in Europe, but studies suggest rates between 4.4% and 7.1% and trends of increasing occurrence. The purpose of this study is to determine how many adult patients live with moderate-to-severe atopic dermatitis as per Jan 1, 2020 in the UK population, how the occurrence of the disease has developed within the past 5 years and to examine the number of other diseases that may co-exist with AD. These data are based on patients seen in primary care. Also, the study aims to characterise patients with moderate-to-severe AD by age, gender, body mass index, what treatment they receive for the skin condition and counts of referrals from general practitioners to specialist/hospital care. The public health benefit and importance of the study is emphasized by the lack of knowledge on how many adults currently live with moderate to severe AD in the UK. Estimating the proportion of adults living with AD and assessing their severity of disease will help understanding the burden of disease of AD in the UK and how it has developed in recent time.","The intention of this study is to provide reliable, current data on the prevalence and treatment patterns (topical and systemic treatment) of AD in the adult UK population. The study is cross-sectional, determining adult patients with AD in the CPRD by a validated algorithm combining diagnostic and treatment codes indicative for AD (index event) including historic data 2 years preceding the index event. The main outcome variables are counts and proportion of adult patients with AD including demographic data, comorbidities and treatment characteristics. The statistical analysis in the study is descriptive, using count and proportion of adult AD patients. The results are summarised as number (%) for categorical variables and mean (standard deviation) for continuous variables. No comparative analyses are performed. This study will generate evidence about the prevalence of adult AD in the UK based on recent data, representative for the UK population.","- Point prevalence of AD in the adult population as per Jan 1, 2020 by 1) total prevalence 2) by age group and 3) by disease severity (moderate to severe)
 - 5-year prevalence of AD in the adult population during the Jan 1, 2015-Jan 1, 2020
 - Age
 - Gender
 - BMI
 - Region
 - Time since diagnosis
 - AD type (based on 5 read codes used)
 - Co-morbidities
 - topical treatment (emollients, top. steroids, top. neuron inhib)
 - systemic treatment on drug level
 - referrals from primary to secondary care
 - time from diagnosis to referral","Dr Lill-Brith Von Arx - Chief Investigator - Eli Lilly & Co - UK

Dr Alexandra Celia Meeks - Collaborator - Eli Lilly & Co Ltd - US Headquarters

Dr Beatrice Gittens - Collaborator - Eli Lilly & Co Ltd - US Headquarters

Dr Lill-Brith Von Arx - Corresponding Applicant - Eli Lilly & Co - UK",null
1616634546-2694,https://www.cprd.com/protocol-list?page=0,Hormone replacement therapy and dementia risk: nested case-control studies using CPRD and QResearch,"Background: Dementia is a devastating condition with serious consequences for affected individuals, families, carers and wider society.  It is commonest in older people, affecting 1 in 14 over the age of 65.  In the UK, there are currently about 850,000 people living with dementia, and the number is expected to increase to over 1 million by 2025.
Some factors, such as smoking, alcohol and obesity, are known to increase risk of developing dementia, but there is a lack of information about factors which could delay or prevent its development.  If taken at around the time of the menopause, there is some evidence that hormone replacement therapy (HRT) can reduce the risk of dementia in women, but studies investigating this have so far been conflicting and inconclusive.

Purpose of the study: To clarify whether HRT can reduce the risk of developing dementia or delay onset.

Potential importance of the findings: If HRT is found to reduce the risk of developing dementia, this will be a significant step forward for women considering using hormonal therapies for menopausal symptoms.  Concern about the prospect of dementia is growing, so a beneficial effect from hormonal treatments on development of dementia would be an important decision factor.","The technical summary should provide a succinct overview of the overarching study aim and objectives, primary exposure(s), and outcome(s), if relevant, study design, and methods including the main statistical tests to be used.

Objective:
The study will investigate risks of incident dementia associated with different types of HRT.

Outcome:
Incident dementia

Exposure:
Prescriptions for HRT

Methods:
This will be a nested case-control study. Cases will be women aged 55 years and over with incident dementia diagnosed between 1998 and 2019, matched with up to 5 controls by age, sex, practice and calendar year. Cases will be selected using GP, ONS mortality and HES data.

Analysis:
Exposure to different HRTs will be defined as at least one prescription for that HRT excluding three years before the index date (date of diagnosis of dementia or equivalent date in matched controls). Conditional logistic regression will be used to assess the risks associated with different types of oestrogen and progesterone.  The effects of duration, length of any gap since the last use, different application routes and the age at which treatment started will be analysed for the most common types of hormones.  All analyses will be adjusted by available data for potential confounding variables.
A study using this same protocol will also be carried out using data from another primary care database (QResearch).  Adjusted odds ratios from the conditional regression analyses of the two datasets will be pooled using a fixed effect model with inverse variance weights.","First record of diagnosis of dementia in general practice, hospital admission data and ONS Mortality data, or treatment for dementia in general practice.","Dr Yana Vinogradova - Chief Investigator - University of Nottingham

Professor Carol Coupland - Collaborator - University of Nottingham

Professor Julia Hippisley-Cox - Collaborator - University of Oxford

Dr Lauren Taylor - Collaborator - University of Nottingham

Dr Michael Moore - Collaborator - University of Southampton

Professor Tom Dening - Collaborator - University of Nottingham

Dr Yana Vinogradova - Corresponding Applicant - University of Nottingham",HES Admitted;ONS;Patient Townsend
1616634564-2702,https://www.cprd.com/protocol-list?page=0,"Area, maternal and child determinants of MMR uptake","Since 2013 uptake of the combined measles mumps and rubella (MMR) vaccine has declined in children in England year upon year.  This has resulted in an increase in the number of measles cases, leading the World Health Organization to withdraw the UK's measles elimination status in 2019.  The reasons for the decline in MMR uptake are unclear.  Public Health England publishes figures on regional variation and the National Audit Office publishes rates by area socioeconomic deprivation (a measure of the level of poverty in an area).  But no information is available on rates by other area based measures nor by maternal characteristics such as age, ethnicity, or the number of children a mother has.  NHS England and Public Health England have identified several contributing factors, including problems with access, anti-vaccination messages, and parental vaccine hesitancy.  The objective of this study is to explore individual and area level factors associated with likelihood of MMR immunisation, and furthermore to establish whether the main reasons for low vaccine uptake are limited access (i.e. GP practice/regional level variation) or individual differences in vaccine acceptance (i.e. variation at the maternal level).  The expected public health benefit of this research is the ability to target areas or groups of mothers with low access, or mothers with characteristics associated with lower acceptance, with the ultimate aim of increasing MMR uptake.","This study aims to explore potential predictors of low MMR vaccine uptake.  Predictors fit broadly into three categories: area level exposures; maternal characteristics; and pregnancy history/current pregnancy factors.  The CPRD Gold data will be used to establish a cohort of women in the pregnancy register whose pregnancies resulted in live births. Area-based socioeconomic status will be assessed based on the linked small-area data (English Index of Multiple Deprivation).  Practice (including Up To Standard date), region, urban/rural classification, mother's age, ethnicity, religion, number of children attached to the mother, parity, number of miscarriages, previous infant deaths, child's gender, pre(eclampsia), pregnancy hypertension, gestational diabetes, preterm delivery, and maternal history of anxiety or depression will be extracted from the primary care data.   The outcome variables will be MMR1 at 24 months, MMR1 at 5 years, and MMR2 at 5 years.  Vaccinated and unvaccinated children will be compared on predictor variables univariately, using two sample t-tests for quantitative variables and chi-square analysis for qualitative variables.  Formal analysis will comprise multiple regression. As sensitivity analyses, the primary analysis will be replicated: 1. with the outcome the 5-in-1 combined diphtheria, tetanus, pertussis, polio, and Haemophilus influenzae type b vaccine (DTaP/IPV/Hib) at 12 months, 24 months and 5 years; and the outcome the combined Haemophilus influenzae type b and meningococcal group C vaccine (Hib/MenC) at 24 months and 5 years; 2. in the subset of practices that are not Up To Standard.",MMR1 at 24 months; MMR1 at 5 years; and MMR2 at 5 years.,"Dr Claire Hastie - Chief Investigator - University of Glasgow

Dr Claire Hastie - Corresponding Applicant - University of Glasgow

Professor Daniel Mackay - Collaborator - University of Glasgow

Professor Jill Pell - Collaborator - University of Glasgow

Dr Paul Welsh - Collaborator - University of Glasgow",2011 Rural-Urban (Non-standard) LSOA;Mother Baby Link;Patient IMD;Pregnancy Register
1616634555-2698,https://www.cprd.com/protocol-list?page=0,Using Real-World Data to Examine the Impact of Different Target Populations on the Representativeness of Cardiovascular Outcome Trials of Antidiabetic Drugs,"Type 2 diabetes is a disease due to high blood sugar resulting in many health problems. Experts look at clinical studies to decide if antidiabetic drugs are effective. However, patients enrolled in these clinical studies may not be similar to individuals who are likely to receive the drug in the real-world. Determining how similar the patients in the clinical studies are to such likely drug users is important to decide if the study results are useful. However, it is unclear who are the ideal group of likely drug users. Using the United Kingdom Clinical Practice Research Datalink, we will identify three groups of likely drug users and examine their similarity with the individuals enrolled in the clinical studies. This study will help experts to find out which group of likely drug users best help determine the real-world usefulness of clinical studies.","Cardiovascular outcome randomized controlled trials (CVOTs) are conducted among patients with type 2 diabetes at high risk of cardiovascular outcomes to evaluate the cardiovascular safety of antidiabetic drugs. However, type 2 diabetes is a heterogenous disease, and multiple clinically relevant subgroups remain underrepresented in these trials. This has resulted in regulatory concerns regarding the applicability of the safety results from the CVOT in the larger population of patients with type 2 diabetes. Simultaneously, this has resulted in a limited incorporation of the trial results in clinical guidelines, as the trials are unable to provide guidance for patients who are not at a high risk of cardiovascular disease. Thus, examining the representativeness of CVOTs to wider populations of drug users in diabetes is of critical importance. To this end, using the Liraglutide Effect and Action in Diabetes: Evaluation of Cardiovascular Outcome Results (LEADER) trial of liraglutide as an illustrative example, we will examine its representativeness based on three different target populations: all patients with type 2 diabetes, liraglutide users, and liraglutide candidates. Liraglutide candidates are a target population comprising of individuals who are eligible to receive liraglutide according to treatment guidelines. Using the CPRD, we will identify these three target populations. We will then apply the eligibility criteria of the LEADER trial on each target population and determine the percentage of individuals in the target who would be eligible to be included in the LEADER trial. We will use a logistic regression model to calculate the propensity score distance between the entire target population and the individuals within the target who are eligible for the LEADER trial. Together, this study will determine the ideal target populations and the appropriate measures to be used while determining the representativeness of CVOTs.",Percent eligible in the target population after applying the inclusion and exclusion criteria of the LEADER trial.,"Dr Samy Suissa - Chief Investigator - McGill University

Ms Devin Abrahami - Collaborator - McGill University

Dr Elodie Baumfeld Andre - Collaborator - Roche

Ms Hui Yin - Collaborator - Sir Mortimer B Davis Jewish General Hospital

Dr Laurent Azoulay - Corresponding Applicant - McGill University

Oriana Hoi Yun Yu - Collaborator - Sir Mortimer B Davis Jewish General Hospital

Dr Richeek Pradhan - Collaborator - Sir Mortimer B Davis Jewish General Hospital

Dr Vaishali Sahasrabudhe - Collaborator - Pfizer Ltd - UK",null
1616634568-2704,https://www.cprd.com/protocol-list?page=0,Glycaemic Control in Type 2 Diabetes Patients after Switching from Basal-Bolus Treatment to Biphasic Insulin Aspart 30/70: a Descriptive Study,"Type 2 diabetes mellitus (T2DM) is a serious disease where blood sugar levels are too high. As the disease progress, patients often require treatment with two types of insulin products known as rapid- and long-acting insulin, respectively. Patients treated with rapid- and long-acting insulins experience a large burden having to administer three to four injections per day. Not all patients with T2DM are able or willing to cope with the complexity of an intensive treatment like this and are therefore switched to a more convenient product known as premix insulin. Premixed insulin is a combination of rapid- and long-acting insulin offering the convenience of only twice daily insulin injections, while avoiding administration errors inherent in mixing separate insulins or giving multiple separate injections. Biphasic Insulin Aspart 30/70 (BIAsp 30) is a type of premixed insulin. There is limited data on clinical characteristics and blood sugar levels in patients switching to BIAsp 30 in clinical practise. We propose to study blood sugar control in patients prescribed BIAsp 30 by their general practitioner in the UK. By using routinely collected health information from the Clinical Practice Research Datalink (CPRD) we will determine T2DM patients treated with multiple daily insulin injections switching to BIAsp 30 and examine blood sugar levels before and after switching. Furthermore, we will investigate clinical characteristics. The study will help fill in the knowledge gap about clinical characteristics and blood sugar levels in patients switching to BIAsp 30 in real world clinical practise.","Premixed insulins offer the convenience of fewer daily injections and better adherence in T2DM patients requiring both fast- and long-acting insulin treatment. Clinical trials have found the treatment effect to be comparable to basal-bolus treatment, however little is known about glycaemic control in patients switching from basal-bolus treatment to Biphasic Insulin Aspart 30/70 (BIAsp 30) in the real world. This study aims to investigate glycaemic control and other clinical characteristics in T2DM patients switching from basal-bolus treatment to BIAsp 30 in a population-based study in the UK. Data will be extracted from the CPRD database allowing for an analysis of the effect of switching to BIAsp 30 in a real-world setting. BIAsp 30 naiive patients will be followed after switching from basal-bolus treatment and their change in HbA1c will be analysed using a mixed model of repeated measures (MMRM). Treatment adherence will be evaluated by analysing the time until discontinuation. The study will provide knowledge of glycaemic control and clinical characteristics in T2DM patients switching from basal-bolus to BIAsp 30 in the real world.",HbA1c over time; weight over time; discontinuation of BIAsp 30; BMI at index date; diabetes duration at index date; previous basal insulin treatment; previous bolus insulin treatment; concomitant bolus insulin treatment; history of hypoglycaemia; incidence of hypoglycaemia.,"Dr Uffe Christian Braae - Chief Investigator - Novo Nordisk

Dr Amra Ciric Alibegovic - Collaborator - Novo Nordisk

Mr Anders Boeck Jensen - Collaborator - Novo Nordisk

Dr Lise Lotte Nystrup Husemoen - Corresponding Applicant - Novo Nordisk

Professor Melanie Davies - Collaborator - University of Leicester

Pranav Kelkar - Collaborator - Novo Nordisk",null
1616634566-2703,https://www.cprd.com/protocol-list?page=0,Trend and mechanism of socioeconomic disparity in infant mortality,"Infant mortality, the death of baby under 1 year, is an important indicator of child health. In the UK, infant mortality had been decreasing continuously over 100 years until 2015. From 2015 to 2017, a gradual increase has been observed and was hypothesised to be due to increased deprivation. It is known that babies born to socially/economically deprived parents (or parents living in deprived areas) have a higher likelihood of dying. Previous reports also found that the difference in infant mortality due to deprivation has not been narrowed from 1950 to 2018. However, it is important to see whether the trend is robust after considering other potential explanations. It is also important to understand how deprivation may influence infant mortality. Some hypotheses are parental age at delivery, maternal illnesses, smoking and drinking during pregnancy, and pregnancy complications. This study will verify any socioeconomic disparity in infant mortality and the whether such disparity can be explained by maternal and pregnancy factors. While upstreaming factors for health disparity (such as deprivation) is harder and takes a longer time to improve, maternal and pregnancy factors can be changed through healthcare services in the exisiting framework. This study will contribute to the reduction of socioeconomic disparity in infant mortality through modifying the intermediate factors.","This study aims to study whether the socioeconomic disparity in infant mortality (under 1 year) has widened, narrowed, or remained stable and whether this can be explained by potential mediators: maternal age and ethnicity, smoking and drinking during pregnancy, maternal illnesses, and pregnancy complications using the CPRD Gold data. A cohort of pregnant women in the CPRD pregnancy register will be established. Stillbirths will be excluded. Deaths of their children will be ascertained through the linkage to the ONS death registration. Area-based socioeconomic status (relative deprivation) will be assessed based on the linked small-area data (twentiles of English Index of Multiple Deprivation). Child sex, year of birth, maternal age at delivery, any pregnancy complications and birth characteristics (gestational diabetes, pregnancy hypertension, (pre-)eclampsia, preterm labour, mode of delivery, and maternal prior history of mental disorders (depression and anxiety), disability, and cancer will be extracted from the primary care data. Poisson regression with robust standard errors will be used to study the trend of socioeconomic disparity. Infant all-cause death will be the outcome variable. Child sex, year of delivery, area-based deprivation, and the interaction between year of delivery and deprivation will be the predictors. Interaction tests will be used to indicate any changes in disparity. The same model will be replicated with potential mediators as additional covariates. The percentage decrease in the effect size of the interaction terms indicates the role of the mediators. As sensitivity analysis, the above primary analysis will be replicated with: 1. Generalised additive model for potential nonlinear trend; 3. Neonatal (0-27 days) and post-neonatal (28-365 days) death as outcomes; and 4. Mothers with mental health disorders, disabilities, and cancers prior to delivery excluded.","All-cause infant (<1 year old) mortality will be primary outcome; neonatal (0-27 days), and post-neonatal (28-365 days) will be secondary outcomes used in sensitivity analyses.","Dr Frederick Ho - Chief Investigator - University of Glasgow

Dr Bhautesh Jani - Collaborator - University of Glasgow

Professor Daniel Mackay - Collaborator - University of Glasgow

Dr Frederick Ho - Corresponding Applicant - University of Glasgow

Professor Jill Pell - Collaborator - University of Glasgow

Dr Kenneth Man - Collaborator - University College London ( UCL )

Dr Paul Welsh - Collaborator - University of Glasgow",Mother Baby Link;ONS;Patient IMD;Pregnancy Register
1616634562-2701,https://www.cprd.com/protocol-list?page=0,Examining methodology to identify patterns of consulting in primary care for different groups of patients before a diagnosis of cancer: a matched retrospective cohort study,"It is difficult for family doctors to spot which patients need testing for undiagnosed cancer, partly because its symptoms can be vague. For patients with long-term medical conditions this is even harder, particularly if their conditions share symptoms with cancer. For example, people with chronic chest disease will often be short of breath and have a cough, which are also symptoms of lung cancer. 
We will be developing new methods to find out if cancer diagnosis is significantly delayed in people with multiple health conditions. New methods are needed, because existing ones use the patient's first cancer symptom recorded in the medical notes. It is impossible to know if that symptom was from the cancer or the existing health condition
We will study 3,000 people (cases) with cancer of the stomach or food gullet, and 3,000 people who do not have cancer (controls). Cases and controls will be paired on age, sex, their general practice, and their health burden. We will then divide our 6,000 patients into groups by their health burden. We will study three groups of different health burden: (1) low (no or only a few long-term conditions); (2) medium; and (3) high (many long-term health conditions). 
We will identify ""normal"" patterns for visiting the doctor in the two years before the case was diagnosed with cancer. From this, we will see when people start to visit their doctor more often than normal because of the undiagnosed cancer. We will develop a method for comparing this ""pick-up"" point in visits between the three groups, to test if it varies for patients with different health burdens.","This matched, retrospective cohort study will be set in primary care, using observational data from the Clinical Practice Research Datalink (CPRD). We will study patients with CPRD diagnostic codes for oesophageal or stomach cancer recorded between 1 January 2010 and 31 December 2019. To quantify baseline consultation rates, we will include controls (1:1) to cases on age, sex, general practice and multimorbidity burden. Multimorbidity is defined as two or more coexisting chronic conditions, and multimorbidity burden as the overall impact of different diseases in an individual, taking their severity into account. 
We will develop methodology, based on time series and negative binomial/Poisson regression, to explore how the timeliness of cancer diagnosis varies between groups of patients with different multimorbidity burden. Previous work using such techniques has concentrated on the point at which the difference between consultation rates in cases and controls becomes statistically significant. This potentially introduces a bias, whose magnitude depends on sample size. Here we will build on preliminary work being done in partnership between Gary Abel and the UCL CanTest team to estimate the most likely inflection point and the uncertainty on that. Outcomes to be measured include:
1. Rates of face-to-face consultations between general practitioners and cases or matched controls in the 2 years before the case is diagnosed with cancer. 
2. The time at which population-level consultation rate starts to increase before a diagnosis of cancer, across patient groups with different multimorbidity burden.
Simulation suggests that 3,000 cases and 3,000 matched controls will give us 92% power to detect a 9% difference in monthly consultation rate between groups with differing multimorbidity burden.","1. Rates of face-to-face consultations between general practitioners and cases or matched controls in the 2 years before the case is diagnosed with cancer. 
2. The time at which population-level consultation rate starts to increase before a diagnosis of cancer, across patient groups with different multimorbidity burden.
3. In order to define (1) and (2) above, the date of cancer diagnosis is required.","Dr Sarah Price - Chief Investigator - University of Exeter

Dr Bianca Wiering - Collaborator - University of Exeter

Dr Gary Abel - Collaborator - University of Exeter

Dr Sarah Price - Corresponding Applicant - University of Exeter

Professor William Hamilton - Collaborator - University of Exeter",null
1616634548-2695,https://www.cprd.com/protocol-list?page=0,The prevalent new-user design for cohort studies with no active comparator: The example of statins and cancer,"Statins are drugs effective at lowering cholesterol and they are used in the prevention of heart attack and stroke. In addition to their favourable effect in cardiovascular diseases, some observational studies also suggested that statins might reduce the risk of developing cancer. However, it was shown that methodological problems in the design and analysis of some of these studies led to the apparent beneficial effect of statins on cancer. The challenges of comparing a treated group to untreated patients in observational studies are numerous and careful assessment of several aspects, both at the design stage and in the analysis, must be taken into account. Indeed, the complexity of studies involving the comparison of a treated group to a untreated group reside, in part, in the absence of a clear starting point in time to base the comparison for people not using the drug of interest.

We propose an approach, which provides an emulation of the classical randomized trial to compare new users of the drug under study with non-users. We illustrate this approach by assessing the effect of statin use compared with non-use on the incidence of cancer.","The new-user cohort design is an essential tool for the conduct of observational studies of the comparative effects of drugs, including effectiveness and safety, to capture potential early effects and to properly time the confounders. While this approach is commonplace, a certain level of complexity is introduced when the comparison is not against an active comparator but rather against non-use. In this context, immortal time and other time-related bias become important threats to the validity of results. The objective of this study is to describe how the prevalent new-user design can be used in this context and to illustrate its use with the example of assessing the effect of statin use compared to non-use on the incidence of cancer. We will form a cohort of all adults in the CPRD, 30 years of age or more between January 1998 and December 2015, having at least one year of up-to-standard data and the record of a LDL cholesterol level <5 mmol/L. For each statin user, we will use the prevalent new-user design to select a reference statin non-user at the same time point as the user, matched on sex and time conditional propensity scores. Matched subjects will be followed for up to 10 years or until the occurrence of a cancer. The Cox proportional hazard model will be used to perform an intention to treat analysis that assesses the effect of statin use versus non-use on the risk of cancer occurrence.","Overall cancer; 7 site-specific cancers: breast, colorectal, haematological, melanoma, non-small cell lung, prostate and urothelial.","Dr Samy Suissa - Chief Investigator - McGill University

Dr Samy Suissa - Corresponding Applicant - McGill University

Ms Sophie Dell'Aniello - Collaborator - McGill University",null
